date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-16,sh.601816,5.8600,6.9900,5.8600,6.7700,4.8800,1414718448,9170651670.0000,3,54.324300,1,38.729500,0
2020-01-17,sh.601816,6.8500,6.8600,6.5000,6.6500,6.7700,738117312,4922740966.0000,3,28.343200,1,-1.772500,0
2020-01-20,sh.601816,6.7300,7.3200,6.7200,7.3200,6.6500,665544832,4738736655.0000,3,25.556500,1,10.075200,0
2020-01-21,sh.601816,7.5000,7.9600,7.1100,7.6800,7.3200,910793648,6930005012.0000,3,34.973900,1,4.918000,0
2020-01-22,sh.601816,7.3000,7.5500,7.2400,7.3200,7.6800,501749424,3701760519.0000,3,19.266900,1,-4.687500,0
2020-01-23,sh.601816,7.1700,7.1700,6.7300,7.0500,7.3200,483174528,3343897833.0000,3,18.553600,1,-3.688500,0
2020-02-03,sh.601816,6.3500,6.3500,6.3500,6.3500,7.0500,137197800,871206030.0000,3,5.268300,1,-9.929100,0
2020-02-04,sh.601816,6.0000,6.9500,6.0000,6.8100,6.3500,466617024,3051684358.0000,3,17.917800,1,7.244100,0
2020-02-05,sh.601816,6.6700,7.3800,6.6300,7.3000,6.8100,483519344,3420448639.0000,3,18.566800,1,7.195300,0
2020-02-06,sh.601816,7.2800,7.4300,7.1100,7.3600,7.3000,375677536,2733272087.0000,3,14.425800,1,0.821900,0
2020-02-07,sh.601816,7.2800,7.9600,7.2200,7.7300,7.3600,492226112,3758813225.0000,3,18.901200,1,5.027200,0
2020-02-10,sh.601816,7.5800,8.2200,7.5300,7.7800,7.7300,472068848,3713667615.0000,3,18.127100,1,0.646800,0
2020-02-11,sh.601816,7.7900,7.8800,7.5400,7.5700,7.7800,324546432,2482518106.0000,3,12.462400,1,-2.699200,0
2020-02-12,sh.601816,7.5100,7.7300,7.4000,7.6300,7.5700,290865136,2199620337.0000,3,11.169000,1,0.792600,0
2020-02-13,sh.601816,7.6400,7.7200,7.4000,7.4600,7.6300,246961688,1856357098.0000,3,9.483200,1,-2.228000,0
2020-02-14,sh.601816,7.4000,7.4500,7.2100,7.3000,7.4600,256396113,1878864938.0000,3,9.845400,1,-2.144800,0
2020-02-17,sh.601816,7.2300,7.3600,7.2200,7.3000,7.3000,292830880,2134888685.0000,3,11.244500,1,0.000000,0
2020-02-18,sh.601816,7.3100,7.8000,7.2200,7.7100,7.3000,537211856,4048192393.0000,3,20.628600,1,5.616400,0
2020-02-19,sh.601816,7.6200,7.6700,7.4000,7.4500,7.7100,364079168,2731448418.0000,3,13.980400,1,-3.372200,0
2020-02-20,sh.601816,7.4500,7.6000,7.4000,7.6000,7.4500,294145616,2208165158.0000,3,11.295000,1,2.013400,0
2020-02-21,sh.601816,7.6000,7.7500,7.5100,7.5300,7.6000,303005616,2301576467.0000,3,11.635200,1,-0.921000,0
2020-02-24,sh.601816,7.4200,7.4200,7.2800,7.3000,7.5300,365754816,2677318365.0000,3,14.044700,1,-3.054400,0
2020-02-25,sh.601816,7.1100,7.2000,7.0100,7.1900,7.3000,271953728,1936534414.0000,3,10.442800,1,-1.506900,0
2020-02-26,sh.601816,7.0900,7.3500,7.0500,7.1400,7.1900,246882924,1776498755.0000,3,9.480100,1,-0.695400,0
2020-02-27,sh.601816,7.0900,7.1800,7.0600,7.0900,7.1400,162205265,1152492256.0000,3,6.228600,1,-0.700300,0
2020-02-28,sh.601816,6.9500,7.0000,6.8000,6.8700,7.0900,232032271,1598818838.0000,3,8.909900,1,-3.103000,0
2020-03-02,sh.601816,6.8600,7.1000,6.8600,7.0700,6.8700,168503758,1183893736.0000,3,6.470400,1,2.911200,0
2020-03-03,sh.601816,7.1300,7.1700,7.0000,7.0200,7.0700,187288966,1323821179.0000,3,7.191800,1,-0.707200,0
2020-03-04,sh.601816,6.9700,6.9700,6.8800,6.9600,7.0200,132375609,916848293.0000,3,5.083100,1,-0.854700,0
2020-03-05,sh.601816,7.0400,7.2200,6.9400,7.1700,6.9600,272828864,1934405196.0000,3,10.476500,1,3.017200,0
2020-03-06,sh.601816,7.0700,7.0800,7.0000,7.0300,7.1700,155505923,1093483648.0000,3,5.971300,1,-1.952600,0
2020-03-09,sh.601816,6.9000,6.9500,6.8600,6.8800,7.0300,139386054,960972467.0000,3,5.352300,1,-2.133700,0
2020-03-10,sh.601816,6.8000,6.9600,6.7000,6.9300,6.8800,151128709,1033336050.0000,3,5.803200,1,0.726700,0
2020-03-11,sh.601816,6.9200,7.1400,6.8700,6.9400,6.9300,166856669,1166411217.0000,3,6.407200,1,0.144300,0
2020-03-12,sh.601816,6.8100,6.8700,6.7600,6.7900,6.9400,117269843,798641874.0000,3,4.503100,1,-2.161400,0
2020-03-13,sh.601816,6.5300,6.7900,6.4500,6.6900,6.7900,133264825,881925107.0000,3,5.117300,1,-1.472800,0
