,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
3840,2025-04-11,000985,中证全指,CSI All Share,603176,汇通集团,"Huitong Construction Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3841,2025-04-11,000985,中证全指,CSI All Share,603177,德创环保,"Zhejiang Tuna Environmental Science & Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3842,2025-04-11,000985,中证全指,CSI All Share,603178,圣龙股份,"Ningbo Shenglong Automotive PowertrainSystem Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3843,2025-04-11,000985,中证全指,CSI All Share,603179,新泉股份,"Jiangsu Xinquan Automotive Trim Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
3844,2025-04-11,000985,中证全指,CSI All Share,603180,金牌家居,"GoldenHome Living Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3845,2025-04-11,000985,中证全指,CSI All Share,603181,皇马科技,"Zhejiang Huangma Technology CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3846,2025-04-11,000985,中证全指,CSI All Share,603182,嘉华股份,"Shandong Sinoglory Health Food Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3847,2025-04-11,000985,中证全指,CSI All Share,603183,建研院,"Suzhou Institute of Building Science Group Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
3848,2025-04-11,000985,中证全指,CSI All Share,603185,弘元绿能,"Hoyuan Green Energy Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3849,2025-04-11,000985,中证全指,CSI All Share,603186,华正新材,"Zhejiang Huazheng New Material Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3850,2025-04-11,000985,中证全指,CSI All Share,603187,海容冷链,"Qingdao Hiron Commercial Cold Chain Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3851,2025-04-11,000985,中证全指,CSI All Share,603188,亚邦股份,"JIANGSU YABANG DYESTUFF CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3852,2025-04-11,000985,中证全指,CSI All Share,603189,网达软件,SHANGHAI WONDERTEK SOFTWARE CORPORATION LTD.,上海证券交易所,Shanghai Stock Exchange
3853,2025-04-11,000985,中证全指,CSI All Share,603190,亚通精工,Yantai Yatong Precision Mechanical Corporation,上海证券交易所,Shanghai Stock Exchange
3854,2025-04-11,000985,中证全指,CSI All Share,603191,望变电气,"Chongqing Wangbian Electric (Group) Corp., Ltd.",上海证券交易所,Shanghai Stock Exchange
3855,2025-04-11,000985,中证全指,CSI All Share,603192,汇得科技,"Shanghai Huide Science & Technology Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
3856,2025-04-11,000985,中证全指,CSI All Share,603193,润本股份,"Runben Biotechnology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3857,2025-04-11,000985,中证全指,CSI All Share,603195,公牛集团,"GONGNIU GROUP CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3858,2025-04-11,000985,中证全指,CSI All Share,603196,日播时尚,"Ribo Fashion Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3859,2025-04-11,000985,中证全指,CSI All Share,603197,保隆科技,Shanghai Baolong Automotive Corporation,上海证券交易所,Shanghai Stock Exchange
3860,2025-04-11,000985,中证全指,CSI All Share,603198,迎驾贡酒,"ANHUI YINGJIA DISTILLERY CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3861,2025-04-11,000985,中证全指,CSI All Share,603199,九华旅游,"Anhui Jiuhuashan Tourism Development Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3862,2025-04-11,000985,中证全指,CSI All Share,603200,上海洗霸,"Shanghai Emperor Of Cleaning Hi-Tech Co., LTD.",上海证券交易所,Shanghai Stock Exchange
3863,2025-04-11,000985,中证全指,CSI All Share,603201,常润股份,"Changshu Tongrun Auto Accessory Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3864,2025-04-11,000985,中证全指,CSI All Share,603203,快克智能,"QUICK INTELLIGENT EQUIPMENT CO.,LTD.",上海证券交易所,Shanghai Stock Exchange
3865,2025-04-11,000985,中证全指,CSI All Share,603206,嘉环科技,"Bestlink Technologies Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3866,2025-04-11,000985,中证全指,CSI All Share,603208,江山欧派,"Jiangshan Oupai Door Industry Co., Ltd",上海证券交易所,Shanghai Stock Exchange
3867,2025-04-11,000985,中证全指,CSI All Share,603209,兴通股份,"Xingtong Shipping Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3868,2025-04-11,000985,中证全指,CSI All Share,603211,晋拓股份,"JINTUO TECHNOLOGY CO.,LTD.",上海证券交易所,Shanghai Stock Exchange
3869,2025-04-11,000985,中证全指,CSI All Share,603212,赛伍技术,Cybrid Technologies Inc.,上海证券交易所,Shanghai Stock Exchange
3870,2025-04-11,000985,中证全指,CSI All Share,603213,镇洋发展,"Zhejiang Oceanking Development Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3871,2025-04-11,000985,中证全指,CSI All Share,603214,爱婴室,"Shanghai Aiyingshi Co., Ltd",上海证券交易所,Shanghai Stock Exchange
3872,2025-04-11,000985,中证全指,CSI All Share,603215,比依股份,"Zhejiang Biyi Electric Appliance Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3873,2025-04-11,000985,中证全指,CSI All Share,603216,梦天家居,Mengtian Home Group Inc.,上海证券交易所,Shanghai Stock Exchange
3874,2025-04-11,000985,中证全指,CSI All Share,603217,元利科技,"Yuanli Chemical Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3875,2025-04-11,000985,中证全指,CSI All Share,603218,日月股份,"Riyue Heavy Industry Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3876,2025-04-11,000985,中证全指,CSI All Share,603219,富佳股份,"Ningbo Fujia Industrial Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3877,2025-04-11,000985,中证全指,CSI All Share,603220,中贝通信,"China Bester Group Telecom CO.,LTD.",上海证券交易所,Shanghai Stock Exchange
3878,2025-04-11,000985,中证全指,CSI All Share,603221,爱丽家居,"Elegant Home-Tech Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3879,2025-04-11,000985,中证全指,CSI All Share,603222,济民健康,"Chimin Health Management Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3880,2025-04-11,000985,中证全指,CSI All Share,603223,恒通股份,"HENGTONG LOGISTICS CO.,LTD.",上海证券交易所,Shanghai Stock Exchange
3881,2025-04-11,000985,中证全指,CSI All Share,603225,新凤鸣,"Xinfengming Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3882,2025-04-11,000985,中证全指,CSI All Share,603226,菲林格尔,"Vohringer Home Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3883,2025-04-11,000985,中证全指,CSI All Share,603227,雪峰科技,"Xinjiang XuefengSci-Tech (Group) Co., Ltd",上海证券交易所,Shanghai Stock Exchange
3884,2025-04-11,000985,中证全指,CSI All Share,603228,景旺电子,"Shenzhen Kinwong Electronic Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3885,2025-04-11,000985,中证全指,CSI All Share,603229,奥翔药业,"Zhejiang Ausun Pharmaceutical Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3886,2025-04-11,000985,中证全指,CSI All Share,603230,内蒙新华,"Inner Mongolia Xinhua Distribution Group Co.,LtD.",上海证券交易所,Shanghai Stock Exchange
3887,2025-04-11,000985,中证全指,CSI All Share,603231,索宝蛋白,"Solbar Ningbo Protein Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3888,2025-04-11,000985,中证全指,CSI All Share,603232,格尔软件,"Shanghai Koal Software Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3889,2025-04-11,000985,中证全指,CSI All Share,603233,大参林,"DaShenLin Pharmaceutical Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3890,2025-04-11,000985,中证全指,CSI All Share,603235,天新药业,"JiangXi Tianxin Pharmaceutical Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3891,2025-04-11,000985,中证全指,CSI All Share,603236,移远通信,"Quectel Wireless Solutions Co., Ltd",上海证券交易所,Shanghai Stock Exchange
3892,2025-04-11,000985,中证全指,CSI All Share,603237,五芳斋,"Zhejiang Wufangzhai Industry Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3893,2025-04-11,000985,中证全指,CSI All Share,603238,诺邦股份,"HangZhou Nbond Nonwovens Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3894,2025-04-11,000985,中证全指,CSI All Share,603239,浙江仙通,"Zhejiang Xiantong Rubber&Plastic Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3895,2025-04-11,000985,中证全指,CSI All Share,603255,鼎际得,"Liaoning Dingjide Petrochemical Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3896,2025-04-11,000985,中证全指,CSI All Share,603256,宏和科技,"GRACE FABRIC TECHNOLOGY CO.,LTD",上海证券交易所,Shanghai Stock Exchange
3897,2025-04-11,000985,中证全指,CSI All Share,603258,电魂网络,"Hangzhou Electronic Soul Network Technology Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
3898,2025-04-11,000985,中证全指,CSI All Share,603259,药明康德,"WuXi AppTec Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3899,2025-04-11,000985,中证全指,CSI All Share,603260,合盛硅业,"HOSHINE SILICON INDUSTRY CO.,LTD",上海证券交易所,Shanghai Stock Exchange
3900,2025-04-11,000985,中证全指,CSI All Share,603261,立航科技,"CHENGDU LIHANG TECHNOLOGY CO.,LTD.",上海证券交易所,Shanghai Stock Exchange
3901,2025-04-11,000985,中证全指,CSI All Share,603266,天龙股份,"Ningbo Tianlong Electronics Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3902,2025-04-11,000985,中证全指,CSI All Share,603267,鸿远电子,"Beijing Yuanliu Hongyuan Electronic Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3903,2025-04-11,000985,中证全指,CSI All Share,603268,松发股份,"Guangdong Songfa Ceramics CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3904,2025-04-11,000985,中证全指,CSI All Share,603269,海鸥股份,"Jiangsu Seagull Cooling Tower Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3905,2025-04-11,000985,中证全指,CSI All Share,603270,金帝股份,"Shandong Golden Empire Precision Machinery Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3906,2025-04-11,000985,中证全指,CSI All Share,603272,联翔股份,"Zhejiang Lianxiang Smart Home Co., LTD",上海证券交易所,Shanghai Stock Exchange
3907,2025-04-11,000985,中证全指,CSI All Share,603273,天元智能,"Jiangsu Teeyer Intelligent Equipment Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3908,2025-04-11,000985,中证全指,CSI All Share,603275,众辰科技,"Shanghai Zhongchen Electronic Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3909,2025-04-11,000985,中证全指,CSI All Share,603276,恒兴新材,"Jiangsu Hengxing New Material Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
