updateDate,code,code_name,industry,industryClassification
2025-03-31,sh.600089,特变电工,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600090,退市济堂,,证监会行业分类
2025-03-31,sh.600091,退市明科,,证监会行业分类
2025-03-31,sh.600092,S*ST精密,,证监会行业分类
2025-03-31,sh.600093,退市易见,,证监会行业分类
2025-03-31,sh.600094,大名城,K70房地产业,证监会行业分类
2025-03-31,sh.600095,湘财股份,J67资本市场服务,证监会行业分类
2025-03-31,sh.600096,云天化,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600097,开创国际,A04渔业,证监会行业分类
2025-03-31,sh.600098,广州发展,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600099,林海股份,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2025-03-31,sh.600100,同方股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600101,明星电力,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600102,莱钢股份,,证监会行业分类
2025-03-31,sh.600103,青山纸业,C22造纸和纸制品业,证监会行业分类
2025-03-31,sh.600104,上汽集团,C36汽车制造业,证监会行业分类
2025-03-31,sh.600105,永鼎股份,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600106,重庆路桥,G54道路运输业,证监会行业分类
2025-03-31,sh.600107,美尔雅,C18纺织服装、服饰业,证监会行业分类
2025-03-31,sh.600108,亚盛集团,A01农业,证监会行业分类
2025-03-31,sh.600109,国金证券,J67资本市场服务,证监会行业分类
2025-03-31,sh.600110,诺德股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600111,北方稀土,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600112,*ST天成,,证监会行业分类
2025-03-31,sh.600113,浙江东日,L72商务服务业,证监会行业分类
2025-03-31,sh.600114,东睦股份,C33金属制品业,证监会行业分类
2025-03-31,sh.600115,中国东航,G56航空运输业,证监会行业分类
2025-03-31,sh.600116,三峡水利,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600117,西宁特钢,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600118,中国卫星,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600119,长江投资,G54道路运输业,证监会行业分类
2025-03-31,sh.600120,浙江东方,J69其他金融业,证监会行业分类
2025-03-31,sh.600121,郑州煤电,B06煤炭开采和洗选业,证监会行业分类
2025-03-31,sh.600122,*ST宏图,,证监会行业分类
2025-03-31,sh.600123,兰花科创,B06煤炭开采和洗选业,证监会行业分类
2025-03-31,sh.600125,铁龙物流,G53铁路运输业,证监会行业分类
2025-03-31,sh.600126,杭钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600127,金健米业,C13农副食品加工业,证监会行业分类
2025-03-31,sh.600128,苏豪弘业,F51批发业,证监会行业分类
2025-03-31,sh.600129,太极集团,C27医药制造业,证监会行业分类
2025-03-31,sh.600130,波导股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600131,国网信通,I65软件和信息技术服务业,证监会行业分类
2025-03-31,sh.600132,重庆啤酒,C15酒、饮料和精制茶制造业,证监会行业分类
2025-03-31,sh.600133,东湖高新,E48土木工程建筑业,证监会行业分类
2025-03-31,sh.600135,乐凯胶片,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600136,ST明诚,R87广播、电视、电影和录音制作业,证监会行业分类
2025-03-31,sh.600137,浪莎股份,C18纺织服装、服饰业,证监会行业分类
2025-03-31,sh.600138,中青旅,L72商务服务业,证监会行业分类
2025-03-31,sh.600139,*ST西源,,证监会行业分类
2025-03-31,sh.600141,兴发集团,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600143,金发科技,C29橡胶和塑料制品业,证监会行业分类
2025-03-31,sh.600145,退市新亿,,证监会行业分类
2025-03-31,sh.600146,退市环球,,证监会行业分类
2025-03-31,sh.600148,长春一东,C36汽车制造业,证监会行业分类
2025-03-31,sh.600149,廊坊发展,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2025-03-31,sh.600151,航天机电,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600152,维科技术,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600153,建发股份,L72商务服务业,证监会行业分类
2025-03-31,sh.600155,华创云信,J67资本市场服务,证监会行业分类
2025-03-31,sh.600156,华升股份,C17纺织业,证监会行业分类
2025-03-31,sh.600157,永泰能源,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600158,中体产业,R89体育,证监会行业分类
2025-03-31,sh.600159,大龙地产,K70房地产业,证监会行业分类
2025-03-31,sh.600160,巨化股份,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600161,天坛生物,C27医药制造业,证监会行业分类
2025-03-31,sh.600162,香江控股,K70房地产业,证监会行业分类
2025-03-31,sh.600163,中闽能源,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600165,*ST宁科,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600166,福田汽车,C36汽车制造业,证监会行业分类
2025-03-31,sh.600167,联美控股,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600168,武汉控股,D46水的生产和供应业,证监会行业分类
2025-03-31,sh.600169,太原重工,C35专用设备制造业,证监会行业分类
2025-03-31,sh.600170,上海建工,E48土木工程建筑业,证监会行业分类
2025-03-31,sh.600171,上海贝岭,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600172,黄河旋风,C30非金属矿物制品业,证监会行业分类
2025-03-31,sh.600173,卧龙地产,K70房地产业,证监会行业分类
2025-03-31,sh.600175,退市美都,,证监会行业分类
2025-03-31,sh.600176,中国巨石,C30非金属矿物制品业,证监会行业分类
2025-03-31,sh.600177,雅戈尔,C18纺织服装、服饰业,证监会行业分类
2025-03-31,sh.600178,东安动力,C36汽车制造业,证监会行业分类
2025-03-31,sh.600179,安通控股,G58多式联运和运输代理业,证监会行业分类
2025-03-31,sh.600180,瑞茂通,F51批发业,证监会行业分类
2025-03-31,sh.600181,S*ST云大,,证监会行业分类
2025-03-31,sh.600182,S佳通,C29橡胶和塑料制品业,证监会行业分类
2025-03-31,sh.600183,生益科技,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600184,光电股份,C35专用设备制造业,证监会行业分类
2025-03-31,sh.600185,格力地产,K70房地产业,证监会行业分类
2025-03-31,sh.600186,莲花控股,C14食品制造业,证监会行业分类
2025-03-31,sh.600187,国中水务,D46水的生产和供应业,证监会行业分类
2025-03-31,sh.600188,兖矿能源,B06煤炭开采和洗选业,证监会行业分类
2025-03-31,sh.600189,泉阳泉,C15酒、饮料和精制茶制造业,证监会行业分类
2025-03-31,sh.600190,ST锦港,G55水上运输业,证监会行业分类
2025-03-31,sh.600191,华资实业,C13农副食品加工业,证监会行业分类
2025-03-31,sh.600192,长城电工,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600193,创兴资源,E50建筑装饰、装修和其他建筑业,证监会行业分类
2025-03-31,sh.600195,中牧股份,C27医药制造业,证监会行业分类
2025-03-31,sh.600196,复星医药,C27医药制造业,证监会行业分类
2025-03-31,sh.600197,伊力特,C15酒、饮料和精制茶制造业,证监会行业分类
2025-03-31,sh.600198,大唐电信,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600199,金种子酒,C15酒、饮料和精制茶制造业,证监会行业分类
2025-03-31,sh.600200,江苏吴中,C27医药制造业,证监会行业分类
2025-03-31,sh.600201,生物股份,C27医药制造业,证监会行业分类
2025-03-31,sh.600202,哈空调,C34通用设备制造业,证监会行业分类
2025-03-31,sh.600203,福日电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600205,S山东铝,,证监会行业分类
2025-03-31,sh.600206,有研新材,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600207,安彩高科,G57管道运输业,证监会行业分类
2025-03-31,sh.600208,衢州发展,K70房地产业,证监会行业分类
2025-03-31,sh.600209,退市罗顿,,证监会行业分类
2025-03-31,sh.600210,紫江企业,C29橡胶和塑料制品业,证监会行业分类
2025-03-31,sh.600211,西藏药业,C27医药制造业,证监会行业分类
2025-03-31,sh.600212,绿能慧充,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600213,*ST亚星,,证监会行业分类
2025-03-31,sh.600215,派斯林,C34通用设备制造业,证监会行业分类
2025-03-31,sh.600216,浙江医药,C27医药制造业,证监会行业分类
2025-03-31,sh.600217,中再资环,C42废弃资源综合利用业,证监会行业分类
2025-03-31,sh.600218,全柴动力,C34通用设备制造业,证监会行业分类
2025-03-31,sh.600219,南山铝业,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600220,ST阳光,,证监会行业分类
2025-03-31,sh.600221,海航控股,G56航空运输业,证监会行业分类
2025-03-31,sh.600222,太龙药业,C27医药制造业,证监会行业分类
2025-03-31,sh.600223,福瑞达,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600225,退市卓朗,,证监会行业分类
2025-03-31,sh.600226,亨通股份,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600227,赤天化,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600228,返利科技,I64互联网和相关服务,证监会行业分类
2025-03-31,sh.600229,城市传媒,R86新闻和出版业,证监会行业分类
2025-03-31,sh.600230,沧州大化,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600231,凌钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600232,金鹰股份,C17纺织业,证监会行业分类
2025-03-31,sh.600233,圆通速递,G60邮政业,证监会行业分类
2025-03-31,sh.600234,*ST科新,E50建筑装饰、装修和其他建筑业,证监会行业分类
2025-03-31,sh.600235,民丰特纸,C22造纸和纸制品业,证监会行业分类
2025-03-31,sh.600236,桂冠电力,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600237,铜峰电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600238,海南椰岛,C15酒、饮料和精制茶制造业,证监会行业分类
2025-03-31,sh.600239,云南城投,K70房地产业,证监会行业分类
2025-03-31,sh.600240,退市华业,,证监会行业分类
2025-03-31,sh.600241,时代万恒,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600242,退市中昌,,证监会行业分类
2025-03-31,sh.600243,青海华鼎,C34通用设备制造业,证监会行业分类
2025-03-31,sh.600246,万通发展,K70房地产业,证监会行业分类
2025-03-31,sh.600247,*ST成城,,证监会行业分类
2025-03-31,sh.600248,陕建股份,E48土木工程建筑业,证监会行业分类
2025-03-31,sh.600249,两面针,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600250,南京商旅,F51批发业,证监会行业分类
2025-03-31,sh.600251,冠农股份,C13农副食品加工业,证监会行业分类
2025-03-31,sh.600252,中恒集团,C27医药制造业,证监会行业分类
2025-03-31,sh.600253,天方药业,,证监会行业分类
2025-03-31,sh.600255,鑫科材料,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600256,广汇能源,B07石油和天然气开采业,证监会行业分类
2025-03-31,sh.600257,大湖股份,A04渔业,证监会行业分类
2025-03-31,sh.600258,首旅酒店,H61住宿业,证监会行业分类
2025-03-31,sh.600259,广晟有色,B09有色金属矿采选业,证监会行业分类
2025-03-31,sh.600260,*ST凯乐,,证监会行业分类
2025-03-31,sh.600261,阳光照明,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600262,北方股份,C35专用设备制造业,证监会行业分类
2025-03-31,sh.600263,路桥建设,,证监会行业分类
2025-03-31,sh.600265,景谷林业,C20木材加工和木、竹、藤、棕、草制品业,证监会行业分类
2025-03-31,sh.600266,城建发展,K70房地产业,证监会行业分类
2025-03-31,sh.600267,海正药业,C27医药制造业,证监会行业分类
2025-03-31,sh.600268,国电南自,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600269,赣粤高速,G54道路运输业,证监会行业分类
2025-03-31,sh.600270,外运发展,,证监会行业分类
2025-03-31,sh.600271,航天信息,I65软件和信息技术服务业,证监会行业分类
2025-03-31,sh.600272,开开实业,F52零售业,证监会行业分类
2025-03-31,sh.600273,嘉化能源,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600275,退市昌鱼,,证监会行业分类
2025-03-31,sh.600276,恒瑞医药,C27医药制造业,证监会行业分类
2025-03-31,sh.600277,ST亿利,,证监会行业分类
2025-03-31,sh.600278,东方创业,F51批发业,证监会行业分类
2025-03-31,sh.600279,重庆港,G55水上运输业,证监会行业分类
2025-03-31,sh.600280,中央商场,F52零售业,证监会行业分类
2025-03-31,sh.600281,华阳新材,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600282,南钢股份,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600283,钱江水利,D46水的生产和供应业,证监会行业分类
2025-03-31,sh.600284,浦东建设,E48土木工程建筑业,证监会行业分类
2025-03-31,sh.600285,羚锐制药,C27医药制造业,证监会行业分类
2025-03-31,sh.600286,S*ST国瓷,,证监会行业分类
2025-03-31,sh.600287,ST舜天,F51批发业,证监会行业分类
2025-03-31,sh.600288,大恒科技,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600289,*ST信通,I65软件和信息技术服务业,证监会行业分类
2025-03-31,sh.600290,*ST华仪,,证监会行业分类
2025-03-31,sh.600291,退市西水,,证监会行业分类
2025-03-31,sh.600292,远达环保,N77生态保护和环境治理业,证监会行业分类
2025-03-31,sh.600293,三峡新材,C30非金属矿物制品业,证监会行业分类
2025-03-31,sh.600295,鄂尔多斯,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600296,S兰铝,,证监会行业分类
2025-03-31,sh.600297,广汇汽车,,证监会行业分类
2025-03-31,sh.600298,安琪酵母,C14食品制造业,证监会行业分类
2025-03-31,sh.600299,安迪苏,C14食品制造业,证监会行业分类
2025-03-31,sh.600300,维维股份,C15酒、饮料和精制茶制造业,证监会行业分类
2025-03-31,sh.600301,华锡有色,B09有色金属矿采选业,证监会行业分类
2025-03-31,sh.600302,标准股份,C35专用设备制造业,证监会行业分类
2025-03-31,sh.600303,ST曙光,C36汽车制造业,证监会行业分类
2025-03-31,sh.600305,恒顺醋业,C14食品制造业,证监会行业分类
2025-03-31,sh.600306,退市商城,,证监会行业分类
2025-03-31,sh.600307,酒钢宏兴,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600308,华泰股份,C22造纸和纸制品业,证监会行业分类
2025-03-31,sh.600309,万华化学,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600310,广西能源,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600311,*ST荣华,,证监会行业分类
2025-03-31,sh.600312,平高电气,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600313,农发种业,F51批发业,证监会行业分类
2025-03-31,sh.600315,上海家化,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600316,洪都航空,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2025-03-31,sh.600317,营口港,,证监会行业分类
2025-03-31,sh.600318,新力金融,J66货币金融服务,证监会行业分类
2025-03-31,sh.600319,亚星化学,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600320,振华重工,C34通用设备制造业,证监会行业分类
2025-03-31,sh.600321,正源股份,,证监会行业分类
2025-03-31,sh.600322,津投城开,K70房地产业,证监会行业分类
2025-03-31,sh.600323,瀚蓝环境,N77生态保护和环境治理业,证监会行业分类
2025-03-31,sh.600325,华发股份,K70房地产业,证监会行业分类
2025-03-31,sh.600326,西藏天路,C30非金属矿物制品业,证监会行业分类
2025-03-31,sh.600327,大东方,Q84卫生,证监会行业分类
2025-03-31,sh.600328,中盐化工,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600329,达仁堂,C27医药制造业,证监会行业分类
2025-03-31,sh.600330,天通股份,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600331,宏达股份,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600332,白云山,C27医药制造业,证监会行业分类
2025-03-31,sh.600333,长春燃气,D45燃气生产和供应业,证监会行业分类
2025-03-31,sh.600335,国机汽车,F51批发业,证监会行业分类
2025-03-31,sh.600336,澳柯玛,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600337,美克家居,F52零售业,证监会行业分类
2025-03-31,sh.600338,西藏珠峰,B09有色金属矿采选业,证监会行业分类
2025-03-31,sh.600339,中油工程,E48土木工程建筑业,证监会行业分类
2025-03-31,sh.600340,华夏幸福,K70房地产业,证监会行业分类
2025-03-31,sh.600343,航天动力,C34通用设备制造业,证监会行业分类
2025-03-31,sh.600345,长江通信,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600346,恒力石化,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600348,华阳股份,B06煤炭开采和洗选业,证监会行业分类
2025-03-31,sh.600350,山东高速,G54道路运输业,证监会行业分类
2025-03-31,sh.600351,亚宝药业,C27医药制造业,证监会行业分类
2025-03-31,sh.600352,浙江龙盛,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600353,旭光电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600354,敦煌种业,A05农、林、牧、渔专业及辅助性活动,证监会行业分类
2025-03-31,sh.600355,精伦电子,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600356,恒丰纸业,C22造纸和纸制品业,证监会行业分类
2025-03-31,sh.600357,承德钒钛,,证监会行业分类
2025-03-31,sh.600358,ST联合,L72商务服务业,证监会行业分类
2025-03-31,sh.600359,新农开发,A01农业,证监会行业分类
2025-03-31,sh.600360,ST华微,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600361,创新新材,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600362,江西铜业,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600363,联创光电,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600365,ST通葡,F52零售业,证监会行业分类
2025-03-31,sh.600366,宁波韵升,C30非金属矿物制品业,证监会行业分类
2025-03-31,sh.600367,红星发展,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600368,五洲交通,G54道路运输业,证监会行业分类
2025-03-31,sh.600369,西南证券,J67资本市场服务,证监会行业分类
2025-03-31,sh.600370,三房巷,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600371,万向德农,A05农、林、牧、渔专业及辅助性活动,证监会行业分类
2025-03-31,sh.600372,中航机载,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2025-03-31,sh.600373,中文传媒,R86新闻和出版业,证监会行业分类
2025-03-31,sh.600375,*ST汉马,C36汽车制造业,证监会行业分类
2025-03-31,sh.600376,首开股份,K70房地产业,证监会行业分类
2025-03-31,sh.600377,宁沪高速,G54道路运输业,证监会行业分类
2025-03-31,sh.600378,昊华科技,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600379,宝光股份,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600380,健康元,C27医药制造业,证监会行业分类
2025-03-31,sh.600381,ST春天,C14食品制造业,证监会行业分类
2025-03-31,sh.600382,广东明珠,B08黑色金属矿采选业,证监会行业分类
2025-03-31,sh.600383,金地集团,K70房地产业,证监会行业分类
2025-03-31,sh.600385,退市金泰,,证监会行业分类
2025-03-31,sh.600386,北巴传媒,F52零售业,证监会行业分类
2025-03-31,sh.600387,*ST海越,F51批发业,证监会行业分类
2025-03-31,sh.600388,龙净环保,C35专用设备制造业,证监会行业分类
2025-03-31,sh.600389,江山股份,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600390,五矿资本,J69其他金融业,证监会行业分类
2025-03-31,sh.600391,航发科技,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类
2025-03-31,sh.600392,盛和资源,C32有色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600393,ST粤泰,,证监会行业分类
2025-03-31,sh.600395,盘江股份,B06煤炭开采和洗选业,证监会行业分类
2025-03-31,sh.600396,华电辽能,D44电力、热力生产和供应业,证监会行业分类
2025-03-31,sh.600397,安源煤业,F51批发业,证监会行业分类
2025-03-31,sh.600398,海澜之家,C18纺织服装、服饰业,证监会行业分类
2025-03-31,sh.600399,抚顺特钢,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600400,红豆股份,C18纺织服装、服饰业,证监会行业分类
2025-03-31,sh.600401,退市海润,,证监会行业分类
2025-03-31,sh.600403,大有能源,B06煤炭开采和洗选业,证监会行业分类
2025-03-31,sh.600405,动力源,C39计算机、通信和其他电子设备制造业,证监会行业分类
2025-03-31,sh.600406,国电南瑞,I65软件和信息技术服务业,证监会行业分类
2025-03-31,sh.600408,安泰集团,C31黑色金属冶炼和压延加工业,证监会行业分类
2025-03-31,sh.600409,三友化工,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600410,华胜天成,I65软件和信息技术服务业,证监会行业分类
2025-03-31,sh.600415,小商品城,L72商务服务业,证监会行业分类
2025-03-31,sh.600416,湘电股份,C38电气机械和器材制造业,证监会行业分类
2025-03-31,sh.600418,江淮汽车,C36汽车制造业,证监会行业分类
2025-03-31,sh.600419,天润乳业,C14食品制造业,证监会行业分类
2025-03-31,sh.600420,国药现代,C27医药制造业,证监会行业分类
2025-03-31,sh.600421,华嵘控股,C34通用设备制造业,证监会行业分类
2025-03-31,sh.600422,昆药集团,C27医药制造业,证监会行业分类
2025-03-31,sh.600423,柳化股份,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600425,青松建化,C30非金属矿物制品业,证监会行业分类
2025-03-31,sh.600426,华鲁恒升,C26化学原料和化学制品制造业,证监会行业分类
2025-03-31,sh.600428,中远海特,G55水上运输业,证监会行业分类
