,报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
10,20220630,118038729000.0,118038729000.0,,,,,,95603742000.0,87042440000.0,,,,,,,,,3888402000.0,316246000.0,371682000.0,1948988000.0,2035984000.0,2068566000.0,,3041920000.0,3038429000.0,,,,,,,,109283000.0,,,,5161000.0,23676069000.0,36124000.0,,55640000.0,,23656553000.0,5196572000.0,,18459981000.0,18459981000.0,,13376243000.0,,5083738000.0,152605000.0,153442000.0,149545000.0,,,149545000.0,,3897000.0,,,11174000.0,,-690000.0,,,,-6587000.0,,-837000.0,18612586000.0,13529685000.0,5082901000.0,1.01,1.01,定期报告,未审计,20230825,CNY,合并期末,2023-08-24T22:52:03
11,20220331,61729684000.0,61729684000.0,,,,,,51140868000.0,46894794000.0,,,,,,,,,1845585000.0,133256000.0,206585000.0,1079160000.0,981488000.0,903870000.0,,1265477000.0,1265477000.0,,,,,,,,39673000.0,,,,3553000.0,11917477000.0,15463000.0,,34986000.0,,11897954000.0,2487084000.0,,9410870000.0,9410870000.0,,6792681000.0,,2618189000.0,9914000.0,8455000.0,,,,,,8455000.0,,,-1159000.0,,-872000.0,,,,10486000.0,,1459000.0,9420784000.0,6801136000.0,2619648000.0,0.51,0.51,定期报告,未审计,20230428,CNY,合并期末,2022-04-27T17:37:05
12,20211231,239828439000.0,239828439000.0,,,,,,213569875000.0,197231700000.0,,,,,,,,,6434774000.0,665662000.0,818491000.0,4462279000.0,3956969000.0,4096772000.0,,3544569000.0,3542083000.0,,,,,,,,198947000.0,,,,-13510000.0,26008097000.0,237065000.0,,174118000.0,,26071044000.0,6582420000.0,,19488624000.0,19488624000.0,,13739271000.0,2641000.0,5749353000.0,46183000.0,50617000.0,90568000.0,,,90568000.0,,-39951000.0,,,,,,,,,-33924000.0,,-4434000.0,19534807000.0,13789888000.0,5744919000.0,1.04,1.04,定期报告,是,20230324,CNY,合并期末,2022-03-24T20:32:04
13,20210930,167571903000.0,167571903000.0,,,,,,148653176000.0,137534972000.0,,,,,,,,,4393790000.0,350447000.0,632434000.0,2767581000.0,2973952000.0,3064554000.0,,2716475000.0,2714875000.0,,,,,,,,149092000.0,,,,-17748000.0,20977125000.0,82342000.0,,149387000.0,,20910080000.0,4519929000.0,,16390151000.0,16390151000.0,,11920746000.0,,4469405000.0,-33254000.0,-24337000.0,10235000.0,,,10235000.0,,-34572000.0,,,-4069000.0,,-1094000.0,,,,-29409000.0,,-8917000.0,16356897000.0,11896409000.0,4460488000.0,0.9,0.9,定期报告,未审计,20221027,CNY,合并期末,2021-10-27T17:22:04
14,20210630,102179485000.0,102179485000.0,,,,,,90702555000.0,83616374000.0,,,,,,,,,2755328000.0,215343000.0,376862000.0,1741346000.0,1997302000.0,2061415000.0,,1750666000.0,1749066000.0,,,,,,,,77532000.0,,,,-19568000.0,13267517000.0,31930000.0,,33851000.0,,13265596000.0,2952560000.0,,10313036000.0,10313036000.0,,7615078000.0,,2697958000.0,-16630000.0,-8730000.0,10235000.0,,,10235000.0,,-18965000.0,,,-968000.0,,-1445000.0,,,,-16552000.0,,-7900000.0,10296406000.0,7606348000.0,2690058000.0,0.57,0.57,定期报告,未审计,20220826,CNY,合并期末,2021-08-25T18:47:03
15,20210331,46235922000.0,46235922000.0,,,,,,41010438000.0,37570154000.0,,,,,,,,,1294391000.0,81433000.0,198083000.0,867764000.0,998613000.0,1014866000.0,,828102000.0,828102000.0,,,,,,,,27741000.0,,,,3156000.0,6084321000.0,14230000.0,,11221000.0,,6087330000.0,1373104000.0,,4714226000.0,4714226000.0,,3516799000.0,13581400000.0,1197427000.0,-11095000.0,-8508000.0,,,,,,-8508000.0,,,-4824000.0,,,,,,-3684000.0,,-2587000.0,4703131000.0,3508291000.0,1194840000.0,0.27,0.27,定期报告,未审计,20220428,CNY,合并期末,2021-04-22T17:37:03
16,20201231,140964681000.0,140964681000.0,,,,,,130064188000.0,116436455000.0,,,,,,,,,4107710000.0,523328000.0,721621000.0,3745601000.0,4529473000.0,4666871000.0,,1313213000.0,1308238000.0,,,,,,,,168335000.0,,,,82000.0,12329135000.0,118129000.0,,119831000.0,,12327433000.0,3398762000.0,,8928671000.0,8928671000.0,,5907091000.0,2924000.0,3021580000.0,-22360000.0,-29365000.0,-50781000.0,,308000.0,-51089000.0,,21416000.0,,,,,,,,,8665000.0,,7005000.0,8906311000.0,5877726000.0,3028585000.0,0.45,0.45,定期报告,是,20220325,CNY,合并期末,2021-03-24T21:02:03
17,20200930,100244308000.0,100244308000.0,,,,,,91967969000.0,73127779000.0,,,,,,,,,2947297000.0,236521000.0,9541258000.0,2617921000.0,3497193000.0,3602335000.0,,565247000.0,563647000.0,,,,,,,,115782000.0,,,,1433000.0,8912156000.0,50280000.0,,63246000.0,,8899190000.0,2371676000.0,,6527514000.0,6527514000.0,,4154393000.0,,2373121000.0,850000.0,-2286000.0,-15173000.0,,,-15173000.0,,12887000.0,,,20685000.0,,-2005000.0,,,,-5793000.0,,3136000.0,6528364000.0,4152107000.0,2376257000.0,0.31,0.31,定期报告,未审计,20211028,CNY,合并期末,2020-10-28T17:42:04
18,20200630,61393186000.0,61393186000.0,,,,,,56192821000.0,44181591000.0,,,,,,,,,1916788000.0,119365000.0,6030568000.0,1566634000.0,2377875000.0,2469701000.0,,210111000.0,208511000.0,,,,,,,,83766000.0,,,,-1499000.0,5464103000.0,26467000.0,,43359000.0,,5447211000.0,1607883000.0,,3839328000.0,3839328000.0,,2309554000.0,2424000.0,1529774000.0,3528000.0,-1131000.0,-15173000.0,,,-15173000.0,,14042000.0,,,,,,,,,-96000.0,,4659000.0,3842856000.0,2308423000.0,1534433000.0,0.17,0.17,定期报告,未审计,20210826,CNY,合并期末,2020-08-29T02:12:04
19,20200331,27520485000.0,27520485000.0,,,,,,25445716000.0,19606770000.0,,,,,,,,,914015000.0,42857000.0,2746953000.0,964682000.0,1170439000.0,1263321000.0,,46460000.0,46460000.0,,,,,,,,29855000.0,,,,,2154798000.0,4775000.0,,9403000.0,,2150170000.0,742139000.0,,1408031000.0,1408031000.0,,648488000.0,,759543000.0,-34759000.0,-34074000.0,,,,,,-34074000.0,,,9906000.0,,,,,,-43980000.0,,-685000.0,1373272000.0,614414000.0,758858000.0,0.05,0.05,定期报告,未审计,20210423,CNY,合并期末,2021-04-22T17:37:03
