,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
901,560560,碳中和ETF泰康,0.517,0.5182,0.23,0.004,0.78,15016.0,766586.0,0.513,0.52,0.502,0.513,3.51,1.12,0.44,-22.79,8570.0,6446.0,27074.0,3.53,194464.0,25.37,-167390.0,-21.84,-48829.0,-6.37,21755.0,2.84,-1.0,0.517,0.52,134190100.0,69376282,69376282,2024-09-26,2024-09-26 15:00:41+08:00
902,561170,绿电50ETF,1.061,1.064,0.28,0.007,0.66,96243.0,10082081.0,1.044,1.061,1.042,1.054,1.8,11.45,1.05,8.96,56577.0,39666.0,-194011.0,-1.92,0.0,0.0,-194011.0,-1.92,144812.0,1.44,49198.0,0.49,-1.0,1.061,1.064,84032700.0,89158695,89158695,2024-09-26,2024-09-26 15:00:42+08:00
903,588320,双创50增强ETF,0.7,0.7009,0.13,0.004,0.57,75235.0,5196473.0,0.704,0.704,0.661,0.696,6.18,42.21,6.62,23.79,52802.0,22433.0,-1158856.0,-22.3,-535154.0,-10.3,-623702.0,-12.0,834638.0,16.06,324217.0,6.24,50.0,0.697,0.7,17824600.0,12477220,12477220,2024-09-26,2024-09-26 15:00:42+08:00
904,513650,标普500ETF基金,1.459,1.447,-0.83,0.007,0.48,796716.0,116044086.0,1.457,1.46,1.454,1.452,0.41,6.62,1.26,21.91,431158.0,365558.0,-12906636.0,-11.12,-12160218.0,-10.48,-746418.0,-0.64,12666104.0,10.91,240532.0,0.21,-688.0,1.459,1.46,1202734000.0,1754788906,1754788906,2024-09-26,2024-09-26 15:00:42+08:00
905,159309,油气资源ETF,0.932,0.9337,0.18,0.004,0.43,70151.0,6451764.529,0.923,0.932,0.915,0.928,1.83,3.85,0.71,-49.49,37337.0,32814.0,-290428.0,-4.5,-390544.0,-6.05,100116.0,1.55,274397.0,4.25,16032.0,0.25,6.0,0.931,0.932,182371736.0,169970458,169970458,2024-09-26,2024-09-26 15:00:06+08:00
906,159655,标普ETF,1.485,1.4584,-1.82,0.006,0.41,105212.0,15604559.2,1.48,1.487,1.479,1.479,0.54,3.4,1.13,11.46,58915.0,46297.0,-58838.0,-0.38,1021068.0,6.54,-1079906.0,-6.92,11410.0,0.07,47428.0,0.3,-535.0,1.485,1.486,309143040.0,459077414,459077414,2024-09-26,2024-09-26 15:00:06+08:00
907,159329,沙特ETF,1.014,1.0158,0.18,0.004,0.4,630352.0,63864983.632,1.012,1.016,1.011,1.01,0.5,10.87,1.1,-14.6,242904.0,387448.0,8326081.0,13.04,12620044.0,19.76,-4293963.0,-6.72,-5421606.0,-8.49,-2904475.0,-4.55,19311.0,1.013,1.014,579689184.0,587804833,587804833,2024-09-26,2024-09-26 15:00:06+08:00
908,520830,沙特ETF,1.01,1.0118,0.18,0.003,0.3,479219.0,48338972.0,1.009,1.012,1.006,1.007,0.6,9.34,1.27,-39.78,190727.0,288492.0,5286148.0,10.94,5558410.0,11.5,-272262.0,-0.56,-2853059.0,-5.9,-2433089.0,-5.03,1188.0,1.009,1.01,513119008.0,518250198,518250198,2024-09-26,2024-09-26 15:00:43+08:00
909,518800,黄金基金ETF,5.683,5.6891,0.11,0.011,0.19,225556.0,128223095.0,5.685,5.696,5.672,5.672,0.42,2.64,1.04,68.2,102921.0,122635.0,4759399.0,3.71,575683.0,0.45,4183716.0,3.26,-5130288.0,-4.0,370888.0,0.29,10.0,5.682,5.683,854519904.0,4856236614,4856236614,2024-09-26,2024-09-26 15:00:40+08:00
910,518880,黄金ETF,5.751,5.7578,0.12,0.011,0.19,3061378.0,1761005963.0,5.76,5.765,5.74,5.74,0.44,7.28,1.21,-14.77,1397663.0,1663715.0,93859568.0,5.33,15162384.0,0.86,78697184.0,4.47,-79933380.0,-4.54,-13926179.0,-0.79,1.0,5.75,5.751,4207240800.0,24195841841,24195841841,2024-09-26,2024-09-26 15:00:43+08:00
911,518850,黄金ETF华夏,5.77,5.7743,0.07,0.009,0.16,73517.0,42439563.0,5.781,5.787,5.764,5.761,0.4,9.1,1.33,38.26,34856.0,38661.0,1782478.0,4.2,0.0,0.0,1782478.0,4.2,3784859.0,8.92,-5567336.0,-13.12,1.0,5.766,5.77,80778700.0,466093099,466093099,2024-09-26,2024-09-26 15:00:42+08:00
912,513500,标普500ETF,1.948,1.8968,-2.7,0.003,0.15,1650332.0,321326369.0,1.949,1.955,1.938,1.945,0.87,2.21,1.53,-29.16,793743.0,856589.0,-25396090.0,-7.9,-6938702.0,-2.16,-18457388.0,-5.74,10090370.0,3.14,15305720.0,4.76,140.0,1.948,1.949,7462638592.0,14537219977,14537219977,2024-09-26,2024-09-26 15:00:42+08:00
913,518600,上海金ETF,5.664,5.6718,0.14,0.008,0.14,32022.0,18145217.0,5.664,5.683,5.659,5.656,0.42,5.78,1.04,18.35,12339.0,19683.0,604678.0,3.33,421893.0,2.33,182785.0,1.01,-1464420.0,-8.07,859741.0,4.74,-25.0,5.664,5.666,55393600.0,313749350,313749350,2024-09-26,2024-09-26 15:00:42+08:00
914,159612,标普500ETF,1.527,1.4921,-2.34,0.002,0.13,119566.0,18276625.2,1.526,1.535,1.526,1.525,0.59,4.15,0.96,12.27,63477.0,56089.0,1101075.0,6.02,952206.0,5.21,148869.0,0.81,-1167319.0,-6.39,66244.0,0.36,2655.0,1.526,1.527,287898656.0,439621248,439621248,2024-09-26,2024-09-26 15:00:06+08:00
915,518680,金ETF,5.736,5.7367,0.01,0.007,0.12,15995.0,9168204.0,5.735,5.744,5.727,5.729,0.3,2.08,0.79,28.13,5313.0,10682.0,2038938.0,22.24,0.0,0.0,2038938.0,22.24,-2227134.0,-24.29,188196.0,2.05,10.0,5.731,5.738,76858000.0,440857488,440857488,2024-09-26,2024-09-26 15:00:40+08:00
916,518890,中银上海金ETF,5.773,5.7763,0.06,0.007,0.12,12566.0,7257771.0,5.784,5.804,5.765,5.766,0.68,5.91,1.14,-7.49,7117.0,5449.0,345340.0,4.76,0.0,0.0,345340.0,4.76,-365620.0,-5.04,20279.0,0.28,-8.0,5.773,5.779,21254800.0,122703960,122703960,2024-09-26,2024-09-26 15:00:41+08:00
917,520990,港股央企红利50ETF,0.897,0.8925,-0.5,0.001,0.11,905380.0,80951282.0,0.905,0.905,0.886,0.896,2.12,7.14,1.93,69.71,497848.0,407532.0,-14055346.0,-17.36,-15407132.0,-19.03,1351786.0,1.67,12470479.0,15.4,1584866.0,1.96,-681.0,0.897,0.898,1268470496.0,1137818035,1137818035,2024-09-26,2024-09-26 15:00:42+08:00
918,159934,黄金ETF,5.692,5.6984,0.11,0.006,0.11,524861.0,298916236.5,5.701,5.707,5.682,5.686,0.44,3.12,0.92,-21.84,246664.0,278197.0,-2370331.0,-0.79,5227006.0,1.75,-7597337.0,-2.54,-3093542.0,-1.03,5463874.0,1.83,-1030.0,5.692,5.693,1681662640.0,9572023747,9572023747,2024-09-26,2024-09-26 15:00:06+08:00
