,index_code,display_name,publish_date
152,000689,科创材料,2022-08-15
153,000690,科创成长,2022-11-04
154,000691,科创ESG,2024-03-21
155,000692,科创新能,2023-04-03
156,000693,科创机械,2023-04-03
157,000695,科长三角,2023-04-03
158,000697,科大湾区,2023-04-03
159,000698,科创100,2023-08-07
160,000699,科创200,2024-08-20
161,000801,资源80,2011-11-08
162,000802,500沪市,2011-11-08
163,000803,300波动,2012-01-09
164,000804,500波动,2012-01-09
165,000805,A股资源,2012-01-06
166,000806,消费服务,2012-02-10
167,000807,食品饮料,2012-02-17
168,000808,医药生物,2012-02-17
169,000809,细分农业,2012-04-11
170,000810,细分能源,2012-04-11
171,000811,细分有色,2012-04-11
172,000812,细分机械,2012-04-11
173,000813,细分化工,2012-04-11
174,000814,细分医药,2012-04-11
175,000815,细分食品,2012-04-11
176,000816,细分地产,2012-04-11
177,000817,兴证海峡,2011-09-27
178,000818,细分金融,2012-04-11
179,000819,有色金属,2012-05-09
180,000820,煤炭指数,2012-05-09
181,000821,300红利,2012-07-20
182,000822,500红利,2012-07-20
183,000823,中证800有色金属指数,2012-12-21
184,000824,国企红利,2012-07-20
185,000825,央企红利,2012-07-20
186,000826,民企红利,2012-07-20
187,000827,中证环保,2012-09-25
188,000828,300高贝,2012-08-06
189,000829,300低贝,2012-08-06
190,000830,500高贝,2012-08-06
191,000831,500低贝,2012-08-06
192,000832,中证转债,2012-09-12
193,000833,中高企债,2012-09-10
194,000838,创业价值,2012-09-26
195,000839,浙企综指,2012-11-09
196,000840,浙江民企,2012-11-09
197,000841,800医药,2012-12-21
198,000842,800等权,2012-12-21
199,000843,300动态,2013-01-07
200,000844,300稳定,2013-01-07
201,000846,ESG100,2012-10-16
202,000847,中证腾安价值100指数,2013-11-18
203,000849,沪深300非银行金融指数,2012-12-21
204,000850,沪深300有色金属指数,2012-12-21
205,000851,中证百度百发策略100指数,2014-07-30
206,000852,中证1000指数,2014-10-17
207,000853,中证申万一带一路主题投资指数,2015-04-23
208,000854,500原料,2013-11-06
209,000855,央视财经500指数,2014-11-03
210,000856,500工业,2013-11-06
211,000857,500医药,2013-11-06
212,000858,500信息,2013-11-06
213,000888,上证收益,2024-07-29
214,000891,中国战略新兴产业综合指数,2017-01-25
215,000901,小康指数,2010-04-01
216,000902,中证流通,2006-02-27
217,000903,中证100,2006-05-29
218,000904,中证200,2007-01-15
219,000905,中证500,2007-01-15
220,000906,中证800,2007-01-15
221,000907,中证700,2007-01-15
222,000908,300能源,2007-07-02
223,000909,300材料,2007-07-02
224,000910,300工业,2007-07-02
225,000911,300可选,2007-07-02
226,000912,300消费,2007-07-02
227,000913,300医药,2007-07-02
228,000914,300金融,2007-07-02
229,000915,300信息,2007-07-02
230,000916,300电信,2007-07-02
231,000917,300公用,2007-07-02
232,000918,300成长,2008-01-21
233,000919,300价值,2008-01-21
234,000920,300R成长,2008-01-21
235,000921,300R价值,2008-01-21
236,000922,中证红利,2008-05-26
237,000923,公司债,2008-11-19
238,000925,基本面50,2009-02-26
239,000926,中证央企,2009-03-30
240,000927,央企100,2009-03-30
241,000928,中证能源,2009-07-03
242,000929,中证材料,2009-07-03
243,000930,中证工业,2009-07-03
244,000931,中证可选,2009-07-03
245,000932,中证消费,2009-07-03
246,000933,中证医药,2009-07-03
247,000934,中证金融,2009-07-03
248,000935,中证信息,2009-07-03
249,000936,中证电信,2009-07-03
250,000937,中证公用,2009-07-03
251,000938,中证民企,2009-08-25
252,000939,民企200,2009-08-25
253,000940,财富大盘,2009-09-25
254,000941,新能源,2009-10-28
255,000942,内地消费,2009-10-28
256,000943,内地基建,2009-10-28
257,000944,内地资源,2009-10-28
258,000945,内地运输,2009-10-28
259,000946,内地金融,2009-10-28
260,000947,内地银行,2009-10-28
261,000948,内地地产,2009-10-28
262,000949,内地农业,2009-10-28
263,000950,300基建,2009-10-28
264,000951,300银行,2009-10-28
265,000952,300地产,2009-10-28
266,000953,中证地企,2010-02-09
267,000954,地企100,2010-02-09
268,000955,中证国企,2010-02-09
269,000956,国企200,2010-02-09
270,000957,300运输,2009-06-16
271,000958,创业成长,2010-03-24
272,000959,银河99,2010-02-09
273,000960,中证龙头,2010-02-09
274,000961,中证上游,2010-04-16
275,000962,中证中游,2010-04-16
276,000963,中证下游,2010-04-16
277,000964,中证新兴,2010-04-30
278,000965,基本200,2010-06-02
279,000966,基本400,2010-06-02
280,000967,基本600,2010-06-02
281,000968,300周期,2010-05-28
282,000969,300非周,2010-05-28
283,000970,ESG40,2010-09-17
284,000971,等权90,2010-12-02
285,000972,300沪市,2010-12-02
286,000973,技术领先,2011-01-04
287,000974,中证800金融指数,2013-05-09
288,000975,钱江30,2014-01-02
289,000976,新华金牛,2014-02-18
290,000977,内地低碳,2011-01-21
291,000978,医药100,2011-03-18
292,000979,大宗商品,2011-08-22
293,000980,中证超大,2011-05-10
294,000981,300分层,2011-06-13
295,000982,500等权,2011-06-13
296,000983,智能资产,2011-06-17
297,000984,300等权,2011-08-02
298,000985,中证全指,2011-08-02
299,000986,全指能源,2011-08-02
300,000987,全指材料,2011-08-02
301,000988,全指工业,2011-08-02
302,000989,全指可选,2011-08-02
303,000990,全指消费,2011-08-02
304,000991,全指医药,2011-08-02
305,000992,全指金融,2011-08-02
306,000993,全指信息,2011-08-02
307,000994,全指电信,2011-08-02
308,000995,全指公用,2011-08-02
309,000996,领先行业,2011-08-02
310,000997,大消费,2011-11-11
311,000998,中证TMT,2011-11-08
312,000999,中证两岸三地500指数,2010-01-18
313,399001,深证成指,1995-01-23
314,399002,深成指R,1995-01-23
315,399003,成份B指,1995-01-23
316,399004,深证100R,2003-01-02
317,399005,中小100,2006-01-24
318,399006,创业板指,2010-06-01
319,399007,深证300,2009-11-04
320,399008,中小300,2010-03-22
321,399009,深证200,2011-09-01
322,399010,深证700,2011-09-01
323,399011,深证1000,2011-09-01
324,399012,创业300,2013-01-07
325,399013,深市精选,2014-05-30
326,399015,深证中小创新指数,2015-03-24
327,399016,深证创新指数,2016-12-01
328,399017,SME创新,2016-12-01
329,399018,创业板创新指数,2016-12-01
330,399019,创业200,2023-11-15
331,399020,创业小盘,2023-11-15
332,399030,碳科技30,2021-09-27
333,399050,创新引擎,2018-07-31
334,399060,碳科技60,2021-09-27
335,399088,深创100,2020-02-18
336,399100,新指数,2006-02-16
337,399101,中小综指,2005-12-01
338,399102,创业板综合指数,2010-08-20
339,399103,乐富指数,2011-12-02
340,399106,深证综指,1991-04-04
341,399107,深证A指,1992-10-04
342,399108,深证B指,1992-10-06
343,399231,农林指数,2013-03-04
344,399232,采矿指数,2013-03-04
345,399233,制造指数,2013-03-04
346,399234,水电指数,2013-03-04
347,399235,建筑指数,2013-03-04
348,399236,批零指数,2013-03-04
349,399237,运输指数,2013-03-04
350,399238,餐饮指数,2013-03-04
351,399239,IT指数,2013-03-04
352,399240,金融指数,2013-03-04
353,399241,地产指数,2013-03-04
354,399242,商务指数,2013-03-04
355,399243,科研指数,2013-03-04
356,399244,公共指数,2013-03-04
357,399248,文化指数,2013-03-04
358,399249,综企指数,2013-03-04
359,399258,绿色低碳,2023-08-08
360,399259,创业低碳,2023-08-08
361,399260,先进制造,2023-08-08
362,399261,创业制造,2023-08-08
363,399269,创质量,2021-01-12
364,399274,深新基建,2022-04-11
365,399275,创医药,2020-10-26
366,399276,创科技,2020-10-26
367,399277,公共健康,2020-05-08
368,399278,长江100,2020-05-08
369,399279,云科技50,2020-05-08
370,399280,生物50,2020-05-08
371,399281,电子50,2020-05-08
372,399282,大数据50,2020-02-18
373,399283,机器人50,2020-02-18
374,399284,AI 50,2020-02-18
375,399285,物联网50,2020-02-18
376,399286,区块链50,2019-12-23
377,399289,碳中和债,2022-04-11
378,399290,深转交债,2019-06-06
379,399291,创精选88,2019-11-06
380,399292,民企发展,2019-03-05
381,399293,创业大盘,2019-04-18
382,399294,中小创Q,2019-06-06
383,399295,创业蓝筹,2019-01-23
384,399296,创成长,2019-01-23
385,399298,深证中高等级信用债指数,2014-09-25
386,399299,深证中低等级信用债指数,2014-09-25
387,399300,沪深300,2005-04-08
388,399301,深信用债,2013-01-11
389,399302,深公司债,2013-01-11
390,399303,国证2000,2014-03-28
391,399305,基金指数,2000-07-03
392,399306,深证ETF,2011-12-02
393,399307,深证转债,2014-08-27
394,399310,国证50,2005-09-05
395,399311,国证1000,2005-02-03
396,399312,国证300,2005-02-03
397,399313,巨潮100,2005-02-03
398,399314,巨潮大盘,2005-02-03
399,399315,巨潮中盘,2005-02-03
400,399316,巨潮小盘,2005-02-03
401,399317,国证A指,2005-02-03
402,399318,巨潮B股指数,2005-02-03
403,399319,资源优势,2005-01-04
404,399320,国证服务,2005-01-04
405,399321,国证红利,2005-01-04
406,399322,国证治理,2005-12-12
407,399324,深证红利,2006-01-24
408,399326,成长40,2006-01-24
409,399328,深证治理,2006-01-24
410,399330,深证100,2006-01-24
411,399332,深证创新(旧),2006-02-27
412,399333,中小100R,2006-12-27
413,399335,深证央企,2009-08-03
414,399337,深证民营,2009-08-03
415,399339,深证科技,2009-08-03
416,399341,深证责任,2009-08-03
417,399344,深证300R,2009-11-04
418,399346,深证成长,2009-11-04
419,399348,深证价值,2009-11-04
420,399350,皖江30,2012-12-18
421,399351,深报指数,2004-09-01
422,399352,深报综指,2005-02-03
423,399353,国证物流,2005-03-01
424,399354,分析师指数,2006-11-25
425,399355,长三角,2007-07-02
426,399356,珠三角,2007-07-02
427,399357,环渤海,2007-07-02
428,399358,泰达指数,2008-01-02
429,399359,国证基建,2009-08-03
430,399360,国证装备,2009-08-03
431,399361,国证商业,2009-08-03
432,399362,国证民营,2009-08-03
433,399363,计算机指,2009-08-03
434,399364,中金消费,2009-08-03
435,399365,国证农业,2009-11-04
436,399366,国证大宗,2009-11-04
437,399367,巨潮地产,2009-11-04
438,399368,国证军工,2009-11-04
439,399369,CBN-兴全,2009-11-04
440,399370,国证成长,2010-01-04
441,399371,国证价值,2010-01-04
442,399372,大盘成长,2010-01-04
443,399373,大盘价值,2010-01-04
444,399374,中盘成长,2010-01-04
445,399375,中盘价值,2010-01-04
446,399376,小盘成长,2010-01-04
447,399377,小盘价值,2010-01-04
448,399378,南方低碳,2010-09-20
449,399379,国证基金,2011-12-02
450,399380,国证ETF,2011-12-02
451,399381,1000能源,2011-12-02
452,399382,1000材料,2011-12-02
453,399383,1000工业,2011-12-02
454,399384,1000可选,2011-12-02
455,399385,1000消费,2011-12-02
456,399386,1000医药,2011-12-02
457,399387,1000金融,2011-12-02
458,399388,1000信息,2011-12-02
459,399389,国证通信,2011-12-02
460,399390,1000公用,2011-12-02
461,399391,投资时钟,2012-03-26
462,399392,国证新兴,2012-03-28
463,399393,国证地产,2012-08-20
464,399394,国证医药,2012-10-29
465,399395,国证有色,2012-10-29
466,399396,国证食品,2012-10-29
467,399397,OCT文化,2012-11-09
468,399398,绩效指数,2012-11-19
469,399399,中经GDP,2012-11-23
470,399400,大中盘,2013-03-20
471,399401,中小盘,2013-03-20
472,399402,周期100,2013-10-28
473,399403,防御100,2013-10-28
474,399404,大盘低波,2013-12-05
475,399405,大盘高贝,2013-12-05
476,399406,中盘低波,2013-12-05
477,399407,中盘高贝,2013-12-05
478,399408,小盘低波,2013-12-05
479,399409,小盘高贝,2013-12-05
480,399410,苏州率先,2013-12-12
481,399411,红利100,2014-04-10
482,399412,国证新能,2014-05-16
483,399413,国证转债,2014-08-27
484,399415,I100,2014-09-12
485,399416,I300,2014-09-12
486,399417,国证新能源汽车指数,2014-09-24
487,399418,国证国家安全指数,2014-11-21
488,399419,国证高铁指数,2014-12-10
489,399420,国证保险证券指数,2014-12-10
490,399423,中关村50指数,2015-02-05
491,399427,国证德高行专利领先指数,2015-02-17
492,399428,国证定向增发指数,2015-02-17
493,399429,新丝路指数,2015-01-08
494,399431,国证银行行业指数,2014-12-30
495,399432,国证汽车与汽车零配件行业指数,2014-12-30
496,399433,国证交通运输行业指数,2014-12-30
497,399434,国证传媒行业指数,2014-12-30
498,399435,国证农牧渔产品行业指数,2014-12-30
499,399436,国证煤炭行业指数,2014-12-30
500,399437,国证证券行业指数,2014-12-30
501,399438,国证电力公用事业行业指数,2014-12-30
502,399439,国证石油天然气行业指数,2014-12-30
503,399440,国证黑色金属行业指数,2014-12-30
504,399441,国证生物医药指数,2015-01-20
505,399481,企债指数,2003-01-02
506,399550,央视50,2012-06-06
507,399551,央视创新,2013-06-06
508,399552,央视成长,2013-06-06
509,399553,央视回报,2013-06-06
510,399554,央视治理,2013-06-06
511,399555,央视责任,2013-06-06
512,399556,央视生态,2014-06-06
513,399557,央视文化,2014-06-06
514,399602,中小成长,2010-05-24
515,399604,中小价值,2010-05-24
516,399606,创业板R,2010-06-01
517,399608,科技100,2010-10-18
518,399610,TMT50,2010-11-08
519,399611,中创100R,2011-02-28
520,399612,中创100,2011-02-28
521,399613,深证能源,2011-06-15
522,399614,深证材料,2011-06-15
523,399615,深证工业,2011-06-15
524,399616,深证可选,2011-06-15
525,399617,深证消费,2011-06-15
526,399618,深证医药,2011-06-15
527,399619,深证金融,2011-06-15
528,399620,深证信息,2011-06-15
529,399621,深证电信,2011-06-15
530,399622,深证公用,2011-06-15
531,399623,中小基础,2011-07-25
532,399624,中创400,2011-08-15
533,399625,中创500,2011-08-15
534,399626,中创成长,2011-08-15
535,399627,中创价值,2011-08-15
536,399628,700成长,2011-09-01
537,399629,700价值,2011-09-01
538,399630,1000成长,2011-09-01
539,399631,1000价值,2011-09-01
540,399632,深100EW,2011-10-28
541,399633,深300EW,2011-10-28
542,399634,中小等权,2011-10-28
543,399635,创业板EW,2011-10-28
544,399636,深证装备,2011-11-15
545,399637,深证地产,2011-11-15
546,399638,深证环保,2011-11-15
547,399639,深证大宗,2011-11-15
548,399640,创业基础,2012-01-16
549,399641,深证新兴,2012-02-01
550,399642,中小新兴,2012-02-01
551,399643,创业新兴,2012-02-01
552,399644,深证时钟,2012-03-26
553,399645,100低波,2012-06-12
554,399646,深消费50,2012-08-06
555,399647,深医药50,2012-08-06
556,399648,深证GDP,2012-08-08
557,399649,中小红利,2012-08-20
558,399650,中小治理,2012-08-20
559,399651,中小责任,2012-08-20
560,399652,中创高新,2012-09-17
561,399653,深证龙头,2012-09-25
562,399654,深证文化,2012-11-09
563,399655,深证绩效,2012-11-19
564,399656,100绩效,2012-11-19
565,399657,300绩效,2012-11-19
566,399658,中小绩效,2012-11-19
567,399659,深成指EW,2012-11-23
568,399660,中创EW,2012-11-23
569,399661,深证低波,2012-12-20
570,399662,深证高贝,2012-12-20
571,399663,中小低波,2012-12-20
572,399664,中小高贝,2012-12-20
573,399665,中创低波,2012-12-20
574,399666,中创高贝,2012-12-20
575,399667,创业板G,2013-01-07
576,399668,创业板V,2013-01-07
577,399669,深证农业,2013-06-24
578,399670,深周期50,2013-10-28
579,399671,深防御50,2013-10-28
580,399672,深红利50,2014-04-10
581,399673,创业板50,2014-06-18
582,399674,深A医药卫生指数,2015-06-08
583,399675,深A软件与互联网指数,2015-06-08
584,399676,深A医药卫生等权指数,2015-06-08
585,399677,深A软件与互联网等权指数,2015-06-08
586,399678,深证次新股指数,2015-06-18
587,399679,深证200指数,2015-06-18
588,399680,深成能源行业指数,2015-08-31
589,399681,深成原材料行业指数,2015-08-31
590,399682,深成工业行业指数,2015-08-31
591,399683,深成可选消费行业指数,2015-08-31
592,399684,深成主要消费行业指数,2015-08-31
593,399685,深成医药卫生行业指数,2015-08-31
594,399686,深成金融地产行业指数,2015-08-31
595,399687,深成信息技术行业指数,2015-08-31
596,399688,深成电信业务行业指数,2015-08-31
597,399689,深成公用事业行业指数,2015-08-31
598,399690,中小专利,2016-05-23
599,399691,深证创业板专利领先指数,2016-05-23
600,399692,创业300低波动率指数,2016-12-20
601,399693,安防产业,2016-06-20
602,399694,创业高贝,2016-12-20
603,399695,深证节能环保指数,2017-04-28
604,399696,深证创投,2016-10-21
605,399697,中关村60,2017-01-10
606,399698,深证优势成长,2017-06-15
607,399699,金融科技,2017-06-09
608,399701,深证F60,2010-05-10
609,399702,深证F120,2010-05-10
610,399703,深证F200,2010-05-10
611,399704,深证上游,2011-10-18
612,399705,深证中游,2011-10-18
613,399706,深证下游,2011-10-18
614,399707,中证申万证券行业指数,2015-04-16
615,399750,深主板50,2023-11-15
616,399802,500深市,2012-09-05
617,399803,中证工业4.0指数,2015-03-10
618,399804,中证体育产业指数,2015-02-09
619,399805,中证互联网金融指数,2015-02-10
620,399806,中证环境治理指数,2014-07-21
621,399807,中证高铁产业指数,2015-01-20
622,399808,中证新能源指数,2015-02-10
623,399809,中证方正富邦保险主题指数,2015-02-13
624,399810,中证申万传媒行业投资指数,2015-08-03
625,399811,中证申万电子行业投资指数,2015-08-03
626,399812,中证养老产业指数,2014-06-06
627,399813,中证国防安全指数,2015-01-29
628,399814,中证大农业指数,2014-07-22
629,399817,中证阿拉善生态主题100指数,2015-10-21
630,399850,深证50,2023-10-18
631,399852,中证1000,2023-09-11
632,399901,中证南方小康产业指数,2010-04-01
633,399902,中证流通指数,2006-02-27
634,399903,中证100指数,2006-05-29
635,399904,中证中盘200指数,2007-01-15
636,399905,中证500,2007-01-15
637,399906,中证800指数,2007-01-15
638,399907,中证中小盘700指数,2007-01-15
639,399908,沪深300能源指数,2007-07-02
640,399909,沪深300原材料指数,2007-07-02
641,399910,沪深300工业指数,2007-07-02
642,399911,沪深300可选消费指数,2007-07-02
643,399912,沪深300主要消费指数,2007-07-02
644,399913,沪深300医药卫生指数,2007-07-02
645,399914,沪深300金融地产指数,2007-07-02
646,399915,沪深300信息技术指数,2007-07-02
647,399916,沪深300电信业务指数,2007-07-02
648,399917,沪深300公用事业指数,2007-07-02
649,399918,沪深300成长指数,2008-01-21
650,399919,沪深300价值指数,2008-01-21
651,399920,沪深300相对成长指数,2008-01-21
652,399922,中证红利指数,2008-05-26
653,399923,公司债,2008-11-19
654,399925,中证锐联基本面50指数,2009-02-26
655,399926,中证中央企业综合指数,2009-03-30
656,399927,中证中央企业100指数,2009-03-30
657,399928,中证能源指数,2009-07-03
658,399929,中证原材料指数,2009-07-03
659,399930,中证工业指数,2009-07-03
660,399931,中证可选消费指数,2009-07-03
661,399932,中证主要消费指数,2009-07-03
662,399933,中证医药卫生指数,2009-07-03
663,399934,中证金融地产指数,2009-07-03
664,399935,中证信息技术指数,2009-07-03
665,399936,中证电信业务指数,2009-07-03
666,399937,中证公用事业指数,2009-07-03
667,399938,中证民营企业综合指数,2009-08-25
668,399939,中证民营企业200指数,2009-08-25
669,399941,中证内地新能源主题指数,2009-10-28
670,399942,中证内地消费主题指数,2009-10-28
671,399943,中证内地基建主题指数,2009-10-28
672,399944,中证内地资源主题指数,2009-10-28
673,399945,中证内地运输主题指数,2009-10-28
674,399946,中证内地金融主题指数,2009-10-28
675,399947,中证内地银行主题指数,2009-10-28
676,399948,中证内地地产主题指数,2009-10-28
677,399949,中证内地农业主题指数,2009-10-28
678,399950,沪深300基建主题指数,2009-10-28
679,399951,沪深300银行指数,2009-10-28
680,399952,沪深300地产指数,2009-10-28
681,399953,中证地方国有企业综合指数,2010-02-09
682,399954,中证地方国有企业100指数,2010-02-09
683,399955,中证国有企业综合指数,2010-02-09
684,399956,中证国有企业200指数,2010-02-09
685,399957,沪深300运输指数,2009-06-16
686,399958,中证创业成长指数,2010-03-24
687,399959,军工指数,2011-08-30
688,399960,中证龙头企业指数,2010-02-09
689,399961,中证上游资源产业指数,2010-04-16
690,399962,中证中游制造产业指数,2010-04-16
691,399963,中证下游消费与服务产业指数,2010-04-16
692,399964,中证新兴产业指数,2010-04-30
693,399965,800地产,2014-04-04
694,399966,800非银,2014-04-04
695,399967,中证军工,2013-12-26
696,399968,沪深300周期行业指数,2010-05-28
697,399969,沪深300非周期行业指数,2010-05-28
698,399970,中证移动互联网指数,2014-05-05
699,399971,中证传媒指数,2014-04-15
700,399972,300深市,2012-06-21
701,399973,中证国防指数,2014-04-15
702,399974,中证国有企业改革指数,2014-08-07
703,399975,中证全指证券公司指数(四级行业),2013-07-15
704,399976,中证新能源汽车指数,2014-11-28
705,399977,中证内地低碳经济主题指数,2011-01-21
706,399978,中证医药100指数,2011-03-18
707,399979,中证大宗商品股票指数,2011-08-22
708,399980,中证超级大盘指数,2011-05-10
709,399981,沪深300行业分层等权重指数,2011-06-13
710,399982,中证500等权重指数,2011-06-13
711,399983,沪深300地产等权重指数,2013-11-22
712,399985,中证全指指数,2011-08-02
713,399986,中证银行指数,2013-07-15
714,399987,中证酒指数,2014-12-10
715,399989,中证医疗指数,2014-10-31
716,399990,中证煤炭等权指数,2015-01-21
717,399991,中证一带一路主题指数,2015-02-16
718,399992,中证万得并购重组指数,2015-05-08
719,399993,中证万得生物科技指数,2015-05-08
720,399994,中证信息安全主题指数,2015-03-12
721,399995,中证基建工程指数,2015-03-12
722,399996,中证智能家居指数,2014-09-17
723,399997,中证白酒指数,2015-01-21
724,399998,中证煤炭指数,2015-02-13
