日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-03,0.973,0.988,0.991,0.973,1511656,148421004.0,1.84,0.82,0.008,5.77
2021-03-04,0.991,0.942,0.992,0.936,2070226,197252168.0,5.67,-4.66,-0.046,7.9
2021-03-05,0.934,0.94,0.947,0.922,809419,75631119.0,2.65,-0.21,-0.002,3.09
2021-03-08,0.954,0.912,0.966,0.911,1655153,154642798.0,5.85,-2.98,-0.028,6.31
2021-03-09,0.912,0.877,0.912,0.87,1179644,105099421.0,4.61,-3.84,-0.035,4.5
2021-03-10,0.889,0.888,0.899,0.88,628200,55953096.0,2.17,1.25,0.011,2.4
2021-03-11,0.89,0.908,0.913,0.885,769713,69498110.0,3.15,2.25,0.02,2.94
2021-03-12,0.915,0.925,0.929,0.907,886712,81672058.0,2.42,1.87,0.017,3.38
2021-03-15,0.92,0.901,0.922,0.89,744268,67468065.0,3.46,-2.59,-0.024,2.84
2021-03-16,0.901,0.909,0.911,0.893,410274,37113687.0,2.0,0.89,0.008,1.57
2021-03-17,0.905,0.92,0.924,0.893,518339,47360924.0,3.41,1.21,0.011,1.98
2021-03-18,0.914,0.941,0.948,0.914,889891,83356939.0,3.7,2.28,0.021,3.4
2021-03-19,0.922,0.908,0.925,0.899,814944,74215747.0,2.76,-3.51,-0.033,3.11
2021-03-22,0.901,0.898,0.918,0.888,689114,61909205.0,3.3,-1.1,-0.01,2.63
2021-03-23,0.896,0.865,0.898,0.855,1340509,116776775.0,4.79,-3.67,-0.033,5.11
2021-03-24,0.853,0.827,0.856,0.823,1259597,105152095.0,3.82,-4.39,-0.038,4.81
2021-03-25,0.825,0.845,0.85,0.824,976539,82194476.0,3.14,2.18,0.018,3.73
2021-03-26,0.845,0.86,0.863,0.84,671391,57321482.0,2.72,1.78,0.015,2.56
2021-03-29,0.862,0.87,0.882,0.855,681639,59409148.0,3.14,1.16,0.01,2.6
2021-03-30,0.87,0.884,0.887,0.867,573650,50537293.0,2.3,1.61,0.014,2.19
2021-03-31,0.877,0.866,0.883,0.856,398605,34465125.0,3.05,-2.04,-0.018,1.52
2021-04-01,0.866,0.879,0.882,0.865,401877,35120143.0,1.96,1.5,0.013,1.53
2021-04-02,0.882,0.885,0.892,0.877,549259,48641669.0,1.71,0.68,0.006,2.1
2021-04-06,0.885,0.881,0.892,0.875,405198,35677961.0,1.92,-0.45,-0.004,1.55
2021-04-07,0.884,0.884,0.888,0.87,375924,32994516.0,2.04,0.34,0.003,1.43
2021-04-08,0.881,0.887,0.892,0.874,372441,32998108.0,2.04,0.34,0.003,1.42
2021-04-09,0.887,0.87,0.889,0.865,451901,39437840.0,2.71,-1.92,-0.017,1.72
2021-04-12,0.877,0.84,0.877,0.834,743583,62896713.0,4.94,-3.45,-0.03,2.84
2021-04-13,0.841,0.843,0.853,0.838,417756,35293235.0,1.79,0.36,0.003,1.59
2021-04-14,0.839,0.855,0.856,0.839,396057,33747172.0,2.02,1.42,0.012,1.51
2021-04-15,0.855,0.854,0.855,0.841,306786,25953609.0,1.64,-0.12,-0.001,1.17
2021-04-16,0.853,0.852,0.855,0.844,323945,27515323.0,1.29,-0.23,-0.002,1.24
2021-04-19,0.849,0.876,0.88,0.845,730981,63669591.0,4.11,2.82,0.024,2.79
2021-04-20,0.876,0.883,0.89,0.873,735637,65050223.0,1.94,0.8,0.007,2.81
2021-04-21,0.88,0.884,0.886,0.869,311925,27461485.0,1.93,0.11,0.001,1.19
2021-04-22,0.884,0.88,0.89,0.875,313297,27554098.0,1.7,-0.45,-0.004,1.2
2021-04-23,0.88,0.89,0.894,0.877,451139,40060128.0,1.93,1.14,0.01,1.72
2021-04-26,0.892,0.896,0.92,0.892,950434,86360227.0,3.15,0.67,0.006,3.63
2021-04-27,0.897,0.89,0.898,0.882,272325,24219821.0,1.79,-0.67,-0.006,1.04
2021-04-28,0.887,0.9,0.901,0.88,373372,33400921.0,2.36,1.12,0.01,1.42
2021-04-29,0.9,0.896,0.9,0.887,393495,35164372.0,1.44,-0.44,-0.004,1.5
2021-04-30,0.894,0.891,0.897,0.883,407696,36266076.0,1.56,-0.56,-0.005,1.56
2021-05-06,0.889,0.901,0.908,0.887,539210,48449331.0,2.36,1.12,0.01,2.06
2021-05-07,0.904,0.91,0.924,0.9,1013020,92649868.0,2.66,1.0,0.009,3.86
2021-05-10,0.916,0.9,0.919,0.894,717197,64931659.0,2.75,-1.1,-0.01,2.74
2021-05-11,0.891,0.878,0.892,0.861,727195,63454937.0,3.44,-2.44,-0.022,2.77
2021-05-12,0.875,0.885,0.888,0.868,558796,49007941.0,2.28,0.8,0.007,2.13
2021-05-13,0.878,0.863,0.879,0.859,825105,71440870.0,2.26,-2.49,-0.022,3.15
2021-05-14,0.861,0.874,0.874,0.854,520130,45084132.0,2.32,1.27,0.011,1.98
2021-05-17,0.874,0.897,0.901,0.871,1065618,95197718.0,3.43,2.63,0.023,4.07
2021-05-18,0.897,0.903,0.905,0.896,518467,46734319.0,1.0,0.67,0.006,1.98
2021-05-19,0.903,0.903,0.906,0.893,483254,43606063.0,1.44,0.0,0.0,1.84
2021-05-20,0.893,0.891,0.899,0.883,513977,45704790.0,1.77,-1.33,-0.012,1.96
2021-05-21,0.888,0.886,0.897,0.88,337829,29891759.0,1.91,-0.56,-0.005,1.29
2021-05-24,0.886,0.889,0.889,0.88,288309,25520739.0,1.02,0.34,0.003,1.1
2021-05-25,0.889,0.91,0.911,0.886,784348,70742305.0,2.81,2.36,0.021,2.99
2021-05-26,0.91,0.923,0.928,0.91,1809077,167155166.0,1.98,1.43,0.013,6.9
2021-05-27,0.923,0.932,0.933,0.918,888807,82354145.0,1.63,0.98,0.009,3.39
2021-05-28,0.931,0.931,0.95,0.927,881370,82787221.0,2.47,-0.11,-0.001,3.36
2021-05-31,0.932,0.941,0.942,0.93,422981,39641595.0,1.29,1.07,0.01,1.61
2021-06-01,0.941,0.97,0.974,0.931,1110931,106180738.0,4.57,3.08,0.029,4.24
2021-06-02,0.97,0.971,0.981,0.963,1131065,109893137.0,1.86,0.1,0.001,4.32
2021-06-03,0.966,0.957,0.974,0.956,674424,64965642.0,1.85,-1.44,-0.014,2.57
2021-06-04,0.95,0.965,0.973,0.95,759633,73269840.0,2.4,0.84,0.008,2.9
2021-06-07,0.967,0.97,0.979,0.962,346127,33583129.0,1.76,0.52,0.005,1.32
2021-06-08,0.969,0.953,0.977,0.946,488118,46786932.0,3.2,-1.75,-0.017,1.86
2021-06-09,0.952,0.968,0.973,0.95,764473,73701667.0,2.41,1.57,0.015,2.92
2021-06-10,0.97,0.978,0.981,0.963,764332,74483167.0,1.86,1.03,0.01,2.92
2021-06-11,0.976,0.969,0.979,0.966,330415,32129505.0,1.33,-0.92,-0.009,1.26
2021-06-15,0.97,0.96,0.98,0.957,1415494,136629833.0,2.37,-0.93,-0.009,5.4
2021-06-16,0.952,0.931,0.96,0.93,369182,34745032.0,3.13,-3.02,-0.029,1.41
2021-06-17,0.929,0.934,0.936,0.924,239528,22295587.0,1.29,0.32,0.003,0.91
2021-06-18,0.934,0.933,0.934,0.925,266744,24792372.0,0.96,-0.11,-0.001,1.02
2021-06-21,0.941,0.934,0.941,0.925,342483,31893550.0,1.71,0.11,0.001,1.31
2021-06-22,0.94,0.942,0.949,0.935,595703,56094760.0,1.5,0.86,0.008,2.27
2021-06-23,0.948,0.952,0.954,0.94,628280,59560654.0,1.49,1.06,0.01,2.4
2021-06-24,0.955,0.958,0.961,0.949,592721,56616162.0,1.26,0.63,0.006,2.26
2021-06-25,0.958,0.983,0.987,0.957,1033073,100932512.0,3.13,2.61,0.025,3.94
2021-06-28,0.985,0.989,0.99,0.98,722987,71286776.0,1.02,0.61,0.006,2.76
2021-06-29,0.982,0.987,0.999,0.982,593312,58852601.0,1.72,-0.2,-0.002,2.26
2021-06-30,0.991,0.995,0.996,0.984,552289,54763739.0,1.22,0.81,0.008,2.11
2021-07-01,0.995,0.975,0.999,0.972,557886,54888542.0,2.71,-2.01,-0.02,2.13
2021-07-02,0.969,0.959,0.971,0.953,446368,42858336.0,1.85,-1.64,-0.016,1.7
2021-07-05,0.958,0.977,0.977,0.957,427673,41322884.0,2.09,1.88,0.018,1.63
2021-07-06,0.981,1.004,1.014,0.981,1339329,134041900.0,3.38,2.76,0.027,5.11
2021-07-07,0.993,1.014,1.017,0.983,1502777,151517933.0,3.39,1.0,0.01,5.73
2021-07-08,1.014,1.012,1.034,1.012,1333928,136307033.0,2.17,-0.2,-0.002,5.09
2021-07-09,1.017,1.037,1.039,1.003,1203488,123315203.0,3.56,2.47,0.025,4.59
2021-07-12,1.049,1.071,1.079,1.047,1906686,203556209.0,3.09,3.28,0.034,7.27
2021-07-13,1.069,1.074,1.082,1.055,1316604,140535082.0,2.52,0.28,0.003,5.02
2021-07-14,1.073,1.06,1.077,1.051,1028106,109308508.0,2.42,-1.3,-0.014,3.92
2021-07-15,1.057,1.082,1.093,1.057,991190,106905072.0,3.4,2.08,0.022,3.78
2021-07-16,1.084,1.07,1.091,1.069,781803,84547915.0,2.03,-1.11,-0.012,2.98
2021-07-19,1.07,1.055,1.079,1.045,954074,101271037.0,3.18,-1.4,-0.015,3.64
2021-07-20,1.035,1.047,1.048,1.027,943477,97669072.0,1.99,-0.76,-0.008,3.6
2021-07-21,1.048,1.072,1.077,1.048,698234,74436785.0,2.77,2.39,0.025,2.66
2021-07-22,1.074,1.09,1.092,1.069,1316389,142489706.0,2.15,1.68,0.018,5.02
2021-07-23,1.093,1.08,1.106,1.077,651075,71015981.0,2.66,-0.92,-0.01,2.48
2021-07-26,1.077,1.069,1.087,1.042,615409,65824650.0,4.17,-1.02,-0.011,2.35
2021-07-27,1.074,1.034,1.088,1.032,649848,69236926.0,5.24,-3.27,-0.035,2.48
2021-07-28,1.013,1.016,1.032,0.998,572512,58045735.0,3.29,-1.74,-0.018,2.18
2021-07-29,1.03,1.056,1.058,1.027,850981,89101602.0,3.05,3.94,0.04,3.25
2021-07-30,1.055,1.048,1.068,1.035,561374,58943312.0,3.13,-0.76,-0.008,2.14
2021-08-02,1.045,1.09,1.09,1.044,626702,67262383.0,4.39,4.01,0.042,2.39
2021-08-03,1.089,1.078,1.09,1.067,568256,61313665.0,2.11,-1.1,-0.012,2.17
2021-08-04,1.078,1.103,1.103,1.07,732849,80219130.0,3.06,2.32,0.025,2.8
2021-08-05,1.103,1.087,1.103,1.078,499270,54290913.0,2.27,-1.45,-0.016,1.9
2021-08-06,1.094,1.087,1.099,1.076,387818,42139476.0,2.12,0.0,0.0,1.48
2021-08-09,1.081,1.098,1.103,1.078,454202,49578377.0,2.3,1.01,0.011,1.73
2021-08-10,1.096,1.082,1.096,1.068,489847,52907945.0,2.55,-1.46,-0.016,1.87
2021-08-11,1.083,1.085,1.091,1.076,387018,42019192.0,1.39,0.28,0.003,1.48
2021-08-12,1.085,1.091,1.095,1.077,452575,49212779.0,1.66,0.55,0.006,1.73
2021-08-13,1.091,1.11,1.123,1.091,664168,73747539.0,2.93,1.74,0.019,2.53
2021-08-16,1.115,1.095,1.127,1.09,600715,66530304.0,3.33,-1.35,-0.015,2.29
2021-08-17,1.089,1.064,1.1,1.062,820740,88693446.0,3.47,-2.83,-0.031,3.13
2021-08-18,1.061,1.074,1.084,1.06,350892,37603597.0,2.26,0.94,0.01,1.34
2021-08-19,1.065,1.065,1.072,1.041,486694,51414348.0,2.89,-0.84,-0.009,1.86
2021-08-20,1.057,1.057,1.073,1.042,347878,36705485.0,2.91,-0.75,-0.008,1.33
2021-08-23,1.058,1.076,1.078,1.056,466612,49924835.0,2.08,1.8,0.019,1.78
2021-08-24,1.08,1.095,1.095,1.076,459983,50086406.0,1.77,1.77,0.019,1.75
2021-08-25,1.095,1.096,1.097,1.073,409290,44397788.0,2.19,0.09,0.001,1.56
2021-08-26,1.09,1.094,1.1,1.086,394316,43145688.0,1.28,-0.18,-0.002,1.5
2021-08-27,1.086,1.1,1.1,1.078,304873,33303414.0,2.01,0.55,0.006,1.16
2021-08-30,1.11,1.12,1.135,1.104,949033,106192601.0,2.82,1.82,0.02,3.62
2021-08-31,1.117,1.11,1.12,1.092,525247,57880521.0,2.5,-0.89,-0.01,2.0
2021-09-01,1.11,1.09,1.116,1.067,511677,55902865.0,4.41,-1.8,-0.02,1.95
2021-09-02,1.084,1.113,1.115,1.08,487763,53827266.0,3.21,2.11,0.023,1.86
2021-09-03,1.113,1.083,1.114,1.075,473883,51921910.0,3.5,-2.7,-0.03,1.81
2021-09-06,1.078,1.1,1.102,1.07,452948,49375508.0,2.95,1.57,0.017,1.73
2021-09-07,1.099,1.148,1.148,1.097,908597,103024468.0,4.64,4.36,0.048,3.47
2021-09-08,1.15,1.162,1.165,1.142,775259,89569638.0,2.0,1.22,0.014,2.96
2021-09-09,1.162,1.169,1.175,1.15,839827,97684544.0,2.15,0.6,0.007,3.2
